CODE COMPARATIVE TABLE
Editorial Note: The 1959 Code sections listed in this table are taken from the 1959 City of East Point Code, as amended through 1977. The disposition in this code of ordinances adopted from April 4, 1977 is listed in the Ordinance Disposition Table which follows this table. In these tables, "N.C." means not codified; "R" means repealed; "S" means superseded; and "et seq." means "and the sections which follow."
EXPAND
Code 1959 Code 1980
21-28 11-5039
21-29 11-5040
21-30 11-5041
21-31 11-5042
21-32 11-5043
22-1 S 12-1001
22-2 R
22-3 R
22-4 R
22-5 R
22-6 R
22-7 R
22-8 R
22-9 R
22-10 R
22-11 R
22-12 R
22-13 R
22-14 R
22-15 R
22-16 R
22-16.1 R
22-17 R
22-18 R
22-19 R
22-20 R
22-21 R
22-22 R
22-23 S 12-1004
22-24 R
22-25 R
22-26 R
22-27 R
22-28 R
22-29 R
22-30 R
22-31 R
22-32 R
22-33 R
22-34 R
22-35 R
22-36 R
22-37 R
22-38 R
22-39 R
22-40 R
22-41 R
22-42 R
22-43 R
22-44 R
22-44.1 R
22-45 R
22-46 R
22-47 R
22-48 R
22-49 R
22-50 R
22-51 R
22-52 R
22-53 R
22-54 R
22-55 R
22-56 R
22-57 R
22-58 R
22-59 R
22-60 S 12-1003
22-61 S 12-1003
22-62 S 12-1003
22-63 R
22-64 S 12-1006
22-65 S 12-1006
22-66 R
22-67 R
22-68 R
22-69 R
22-70 R
22-71 R
22-72 R
22-73 R
22-74 R
22-75 R
22-76 R
22-77 12-2001
22-78 12-2002
22-78.1 12-2003
22-78.2 12-2004
22-79 12-2005
22-80 12-2006
22-81 12-2007
22-82 12-2008
22-83 12-2009
22-84 12-2010
22-85 12-2011
22-86 12-2012
22-87 12-2013
22-88 12-2014
22-89 12-2015
22-90 12-2016
22-91 12-2017
22-92 12-2031
22-93 12-2032
22-94 12-2033
22-95 12-2034
22-96 12-2035
22-97 12-2036
22-98 12-2037
22-99 12-2038
22-100 12-2039
22-101 12-2040
22-102 12-2041
22-103 12-2042
22-104 R
22-105 R
22-106 R
22-107 R
22-108 R
22-109 R
22-110 R
22-111 R
22-112 R
22-113 R
22-114 R
22-115 R
22-116 R
22-117 R
22-118 R
22-119 R
22-120 R
22-121 R
22-122 12-2051
22-123 12-2052
22-124 12-2053
22-125 R
22-126 R
22-127 R
22-128 R
22-129 R
22-130 R
22-131 R
22-132 R
22-133 S 12-3001
22-134 12-3002
22-135 12-3003
