CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
I(27-470) 27-815
I(27-471) 27-816
I(27-472) 27-817
I(27-473) 27-818
I(27-474) 27-819
I(27-475) 27-820
I(27-476) 27-821
I(27-477) 27-822
I(27-478) 27-823
I(27-481.0) 27-855
I(27-481.2) 27-856
I(27-481.3) 27-857
I(27-481.4) 27-858
I(27-481.5) 27-859
I(27-481.6) 27-860
I(27-481.7) 27-861
I(27-481.8) 27-862
I(27-481.9) 27-863
I(27-481.10) 27-864
I(27-481.11) 27-865
I(27-481.12) 27-866
I(27-481.13) 27-867
I(27-481.14) 27-868
I(27-481.15) 27-869
I(27-481.16) 27-870
I(27-482.1) 27-889
I(27-482.2) 27-890
I(27-482.3) 27-891
I(27-482.4) 27-892
I(27-482.5) 27-893
I(27-482.6) 27-894
I(27-482.7) 27-895
I(27-482.8) 27-896
I(27-482.9) 27-897
I(27-482.10) 27-898
I(27-482.11) 27-899
I(27-482.12) 27-900
I(27-482.13) 27-901
I(27-482.14) 27-902
I(27-486) 27-922
I(27-487) 27-923
I(27-488) 27-924
I(27-489) 27-925
I(27-490) 27-927
I(27-491) 27-928
I(27-492) 27-929
I(27-493) 27-930
I(27-494) 27-931
I(27-495) 27-932
I(27-496) 27-933
I(27-497) 27-934
I(27-501) 27-957
I(27-502) 27-958
I(27-503) 27-959
I(27-504) 27-960
I(27-505) 27-961
I(27-506) 27-962
I(27-507) 27-963
I(27-508) 27-964
I(27-509) 27-965
I(27-510) 27-966
I(27-511) 27-967
I(27-512) 27-968
I(27-516) 27-995
I(27-517) 27-996
I(27-518) 27-997
I(27-519) 27-998
I(27-520) 27-999
I(27-521) 27-1000
I(27-522) 27-1001
I(27-523) 27-1002
I(27-524) 27-1003
I(27-525) 27-1004
I(27-526) 27-1005
I(27-536) 27-1024
I(27-537) 27-1025
I(27-538) 27-1026
I(27-539) 27-1027
I(27-540) 27-1028
I(27-541) 27-1029
I(27-542) 27-1030
I(27-543) 27-1031
I(27-544) 27-1032
I(27-545) 27-1033
I(27-546) 27-1034
I(27-547) 27-1035
I(27-556) 27-1054
I(27-557) 27-1055
I(27-558) 27-1056
I(27-559) 27-1057
I(27-560) 27-1058
I(27-561) 27-1059
I(27-562) 27-1060
I(27-563) 27-1061
