SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Municipal Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ordinance
Number Date
Adopted Included/
Omitted Supplement
Number
7485A  4- 2-2010 Omitted 21
8147  5-13-2020 Omitted 41
8148  5-13-2020 Omitted 41
8149  5-13-2020 Omitted 41
8150  5-13-2020 Omitted 41
8151  5-13-2020 Omitted 41
8152  5-13-2020 Omitted 41
8153  5-13-2020 Omitted 41
8154  5-13-2020 Omitted 41
8155  5-13-2020 Omitted 41
8156  5-13-2020 Omitted 41
8157  5-13-2020 Included 41
8158  5-13-2020 Included 41
8159  6-10-2020 Omitted 41
8160  6-10-2020 Omitted 41
8161  6-10-2020 Included 41
8162  6-10-2020 Omitted 41
8163  6-10-2020 Omitted 41
8164  6-10-2020 Omitted 41
8165  6-10-2020 Omitted 41
8166  6-10-2020 Omitted 41
8167  6-10-2020 Omitted 41
8168  6-10-2020 Included 41
8169  7- 8-2020 Included 41
8170  7- 8-2020 Included 41
8172  7- 8-2020 Included 41
8171  7- 8-2020 Omitted 42
8174  7- 8-2020 Omitted 42
8176  7-28-2020 Omitted 42
8177  8-12-2020 Included 42
8178  8-12-2020 Omitted 42
8179  8-12-2020 Omitted 42
8180  8-12-2020 Omitted 42
8181  8-12-2020 Omitted 42
8182  8-12-2020 Omitted 42
8183  8-12-2020 Omitted 42
8184  8-12-2020 Omitted 42
8185  9- 9-2020 Omitted 42
8186  9- 9-2020 Omitted 42
8187  9- 9-2020 Omitted 42
8188  9- 9-2020 Omitted 42
8189 10-14-2020 Omitted 42
8190 10-14-2020 Omitted 42
8191 10-14-2020 Included 42
8192 11-11-2020 Omitted 42
8193 11-11-2020 Included 42
8194 11-11-2020 Included 42
8195 11-11-2020 Included 42
8199 12- 9-2020 Included 42
8202 12- 9-2020 Included 42
8203 12- 9-2020 Included 42
8204 12- 9-2020 Included 42
8211  1-13-2021 Included 43
8212  2-10-2021 Omitted 43
8213  2-10-2021 Omitted 43
8214  2-10-2021 Omitted 43
8215  2-10-2021 Omitted 43
8216  2-10-2021 Omitted 43
8217  2-10-2021 Included 43
8218  3-10-2021 Omitted 43
8219  4-14-2021 Omitted 43
8220  4-14-2021 Included 43
8221  4-14-2021 Included 43
8222  4-14-2021 Omitted 43
8223  6- 9-2021 Omitted 43
8224  5-12-2021 Included 43
8225  5-12-2021 Omitted 43
8226  6- 9-2021 Omitted 43
8227  7-14-2021 Included 43
8228  7-14-2021 Included 43
8229  7-14-2021 Included 43
8230  7-27-2021 Omitted 44
8231  8-11-2021 Omitted 44
8232 10-13-2021 Omitted 44
8233 10-13-2021 Included 44
8234 10-13-2021 Included 44
8235 10-13-2021 Omitted 44
8236 10-13-2021 Omitted 44
8237 10-13-2021 Omitted 44
8238 10-13-2021 Omitted 44
8239 11-10-2021 Omitted 44
8240 11-10-2021 Omitted 44
8241 11-10-2021 Omitted 44
8242 11-10-2021 Included 44
8243 11-10-2021 Omitted 44
8244 12- 8-2021 Omitted 44
8245 12- 8-2021 Included 44
8246  1-12-2022 Omitted 44
8247  1-12-2022 Omitted 44
8248  1-12-2022 Omitted 44
8249  1-12-2022 Omitted 44
8250  1-12-2022 Omitted 44
8251  1-12-2022 Included 44
8252  1-25-2022 Omitted 44
8253  1-25-2022 Omitted 44
8254  1-25-2022 Omitted 44
8255  1-25-2022 Omitted 44
8256  2- 9-2022 Omitted 44
8257  3- 9-2022 Omitted 44
8258  3- 9-2022 Included 44
8259  3- 9-2022 Omitted 44
8260  3- 9-2022 Omitted 44
8261  4-11-2022 Included 44
8262  4-13-2022 Included 44
8263  4-13-2022 Included 44
8265  4-13-2022 Included 44
8266  4-13-2022 Omitted 44
8267  4-13-2022 Omitted 44
8268  4-13-2022 Omitted 44
8269  4-13-2022 Omitted 44
8270  4-13-2022 Omitted 44
8271  4-13-2022 Included 44
8272  4-13-2022 Omitted 44
8273  4-13-2022 Included 44
8274  4-29-2022 Included 44
8280  6- 8-2022 Included 44
8282  6- 8-2022 Omitted 45
8283  7-13-2022 Included 45
8284  7-13-2022 Included 45
